Date,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-05-07,Shoulder Dumbbell Press,20,10,,,,,Shoulders,PPL Home Push,
2020-05-07,Shoulder Dumbbell Press,20,10,,,,,Shoulders,PPL Home Push,
2020-05-07,Incline Dumbbell Press,30,8,,,,,Chest,PPL Home Push,
2020-05-07,Incline Dumbbell Press,20,8,,,,,Chest,PPL Home Push,
2020-05-07,DB Skullcrusher,15,13,,,,,Triceps,PPL Home Push,
2020-05-07,DB Skullcrusher,15,8,,,,,Triceps,PPL Home Push,
2020-05-07,Dumbbell Lateral Raises,15,8,,,,,Shoulders,PPL Home Push,
2020-05-07,Dumbbell Lateral Raises,10,8,,,,,Shoulders,PPL Home Push,
2020-05-07,DB Kickback,10,8,,,,,Triceps,PPL Home Push,
2020-05-07,DB Kickback,10,8,,,,,Triceps,PPL Home Push,
2020-05-07,Pec Fly,15,8,,,,,Chest,PPL Home Push,
2020-05-07,Pec Fly,15,6,,,,,Chest,PPL Home Push,
2020-04-28,Assisted Pull Up,-100,10,,,,,Back,PPL Home Pull,
2020-04-28,Assisted Pull Up,-100,10,,,,,Back,PPL Home Pull,
2020-04-28,Inverted Row,0,12,,,,,Back,PPL Home Pull,
2020-04-28,Inverted Row,0,10,,,,,Back,PPL Home Pull,
2020-04-28,Dumbbell Row,30,10,,,,,Back,PPL Home Pull,
2020-04-28,Dumbbell Row,30,10,,,,,Back,PPL Home Pull,
2020-04-28,Dumbbell Row,20,13,,,,,Back,PPL Home Pull,
2020-04-28,Dumbbell Row,20,12,,,,,Back,PPL Home Pull,
2020-04-28,DB Rear Delt,10,13,,,,,Back,PPL Home Pull,
2020-04-28,DB Rear Delt,0,10,,,,,Back,PPL Home Pull,
2020-04-28,Hammer Curl,20,10,,,,,Biceps,PPL Home Pull,
2020-04-28,Hammer Curl,20,10,,,,,Biceps,PPL Home Pull,
2020-04-28,Concentration Curl,15,10,,,,,Biceps,PPL Home Pull,
2020-04-28,Concentration Curl,15,10,,,,,Biceps,PPL Home Pull,
2020-02-01,T-bar Row,45,8,,,,,Back,Delt 2B,
2020-02-01,T-bar Row,45,8,,,,,Back,Delt 2B,
2020-02-01,Assisted Pull Up,-60,10,,,,,Back,Delt 2B,
2020-02-01,Assisted Pull Up,-60,10,,,,,Back,Delt 2B,
2020-02-01,Assisted Pull Up,-60,8,Super slow and controlled reps,,,,Back,Delt 2B,
2020-02-01,Seated Row Closegrip,75,10,,,,,Back,Delt 2B,
2020-02-01,Seated Row Closegrip,90,10,,,,,Back,Delt 2B,
2020-02-01,Seated Row Closegrip,90,8,,,,,Back,Delt 2B,
2020-02-01,Seated Row Closegrip,90,3,Low back pump again,,,,Back,Delt 2B,
2020-02-01,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2B,
2020-02-01,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2B,
2020-02-01,Preacher Curls,35,12,,,,,Biceps,Delt 2B,
2020-02-01,Preacher Curls,45,10,,,,,Biceps,Delt 2B,
2020-02-01,Preacher Curls,45,8,,,,,Biceps,Delt 2B,
2020-02-01,Preacher Curls,35,10,,,,,Biceps,Delt 2B,
2020-02-01,Machine Shoulder Press,50,10,,,,,Shoulders,Delt 2B,
2020-02-01,Machine Shoulder Press,50,10,,,,,Shoulders,Delt 2B,
2020-02-01,Machine Shoulder Press,50,10,,,,,Shoulders,Delt 2B,
2020-02-01,Machine Lateral Raise,20,15,,,,,Shoulders,Delt 2B,
2020-02-01,Machine Lateral Raise,30,10,,,,,Shoulders,Delt 2B,
2020-02-01,Machine Lateral Raise,30,10,,,,,Shoulders,Delt 2B,
2020-01-31,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2A,
2020-01-31,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2A,
2020-01-31,Rear Delt Machine,30,10,,,,,Shoulders,Delt 2A,
2020-01-31,Machine Bench Press,90,8,3ish,,,,Chest,Delt 2A,
2020-01-31,Machine Bench Press,90,9,,,,,Chest,Delt 2A,
2020-01-31,Machine Bench Press,90,8,,,,,Chest,Delt 2A,
